Year,Purpose,Category,Adopted or Rejected,'Yes' Votes,'No' Votes,Total Votes in Election,Total Votes,,Ballot Language,url
1988,To allow the use of juries of fewer 12 members in civil and nonfelony cases.,Judicial Branch,A,"1,205,730","806,766","2,125,119t",2125119,56.7%,1988 Laws of MInnesota Chapter 716,https://www.revisor.mn.gov/laws/?id=716&year=1988
1988,"To establish a Minnesota Environmental and Natural Resources Trust Fund for environmental, natural resources, and wildlife purposes.",Environment & Land Use,A,"1,645,090","375,752","2,125,119t",2125119,77.4%,1988 Laws of MInnesota Chapter 690,https://www.revisor.mn.gov/laws/?id=690&year=1988
1988,To permit the legislature to authorize a lottery operated by the state.,Revenue & Spending,A,"1,214,032","843,307","2,125,119t",2125119,57.1%,1988 Laws of MInnesota Chapter 690,https://www.revisor.mn.gov/laws/?id=690&year=1988
1984,To allow the exchange of state-owned lands for other lands owned by state or local governments.,Environment & Land Use,A,"1,176,809","611,200","2,114,842t",2114842,55.6%,1984 Laws of MInnesota Chapter 643,https://www.revisor.mn.gov/laws/?id=643&year=1984
1984,To remove restrictions on the investment of the permanent school fund and to allow the limits on the investment of the fund and the apportionment of the returns on the investment to school districts to be set by law.,Revenue & Spending,A,"1,139,390","631,378","2,114,842t",2114842,53.9%,1984 Laws of MInnesota Chapter 482,https://www.revisor.mn.gov/laws/?id=482&year=1984
1982,To allow the creation of a court of appeals.,Structure of Government,A,"1,304,127","385,738","1,834,737t",1834737,71.1%,1982 Laws of MInnesota Chapter 501,https://www.revisor.mn.gov/data/revisor/law/1982/0/1982-501.pdf
1982,To remove restrictions on the interest rate for and the amount of trunk highway bonds.,Highways & Transit,A,"1,103,221","563,865","1,834,737t",1834737,60.1%,1982 Laws of MInnesota Chapter 510,https://www.revisor.mn.gov/data/revisor/law/1982/0/1982-510.pdf
1982,To permit the legislature to authorize on-track pari-mutuel betting on horse racing.,Gambling & Vice,A,"1,108,255","624,721","1,834,737t",1834737,60.4%,1982 Laws of MInnesota Chapter 518,https://www.revisor.mn.gov/data/revisor/law/1982/0/1982-518.pdf
1982,To provide state bonding authority for the improvement and rehabilitation of railroad facilities.,Revenue & Spending,A,"1,201,321","492,736","1,834,737t",1834737,65.5%,1982 Laws of MInnesota Chapter 600,https://www.revisor.mn.gov/data/revisor/law/1982/0/1982-600.pdf
1980,To require campaign spending limits for executive and legislative offices and public disclosure of campaign spending for all state candidates.,Elections,A,"1,457,454","398,551","2,079,411t",2079411,70.1%,1980 Laws of MInnesota Chapter 587,https://www.revisor.mn.gov/data/revisor/law/1980/0/1980-587.pdf
1980,To remove restrictions on the interest rate for and the amount of highway bonds.,Revenue & Spending,R,"964,212","823,192","2,079,411t",2079411,46.4%,1980 Laws of MInnesota Chapter 549,https://www.revisor.mn.gov/data/revisor/law/1980/0/1980-549.pdf
1980,To remove requirement of senate approval for notaries public.,Structure of Government,R,"944,883","850,251","2,079,411t",2079411,45.4%,1980 Laws of MInnesota Chapter 592,https://www.revisor.mn.gov/data/revisor/law/1980/0/1980-592.pdf
1980,To establish a bipartisan reapportionment commission.,Elections,R,"1,036,581","754,935","2,079,411t",2079411,49.8%,1980 Laws of MInnesota Chapter 588,https://www.revisor.mn.gov/data/revisor/law/1980/0/1980-588.pdf
1980,To establish initiative and referendum.,Elections,R,"970,407","854,164","2,079,411t",2079411,46.7%,1980 Laws of MInnesota Chapter 587,https://www.revisor.mn.gov/data/revisor/law/1980/0/1980-587.pdf
1976,To permit proceeds from increases in motor fuel taxes to be placed in the general fund; to remove restrictions on interest rate for and amount of highway bonds.,Highways & Transit,R,"552,543","1,134,847","1,978,590t",1978590,27.9%,1975 Laws of MInnesota Chapter 203,https://www.revisor.mn.gov/data/revisor/law/1975/0/1975-203.pdf
1974,To revise organization and language of constitution.,Structure of Government,A,"815,064","311,781","1,296,209t",1296209,62.9%,1974 Laws of MInnesota Chapter 409,https://www.revisor.mn.gov/data/revisor/law/1974/0/1974-409.pdf
1974,To ease vote requirement for amending constitution.,Elections,R,"638,775","474,519","1,296,209t",1296209,49.3%,1974 Laws of MInnesota Chapter 457,https://www.revisor.mn.gov/data/revisor/law/1974/0/1974-457.pdf
1974,To allow legislature to determine railroad taxes.,Revenue & Spending,A,"741,353","372,158","1,296,209t",1296209,57.2%,1974 Laws of MInnesota Chapter 467,https://www.revisor.mn.gov/data/revisor/law/1974/0/1974-467.pdf
1972,To allow flexible legislative sessions.,Structure of Government,A,"968,088","603,385","1,773,838t",1773838,54.6%,1971 1st Sp. Sess Laws of MInnesota Chapter 26,https://www.revisor.mn.gov/data/revisor/law/1971/1/1971-EX-026.pdf
1972,To reorganize the state judicial system; to provide for appointment of clerks of district court; to authorize discipline and removal of,Judicial Branch,A,"1,012,916","531,831","1,773,838t",1773838,57.1%,1971 Laws of MInnesota Chapter 957,https://www.revisor.mn.gov/data/revisor/law/1971/0/1971-957.pdf
1972,To provide for the joint election of the governor and lieutenant governor; to remove the lieutenant governor as the presiding officer of the senate.,Elections,A,"1,064,580","503,342","1,773,838t",1773838,60.0%,1971 Laws of MInnesota Chapter 958,https://www.revisor.mn.gov/data/revisor/law/1971/0/1971-958.pdf
1972,To authorize bonus payment for Vietnam veterans.,Revenue & Spending,A,"1,131,921","477,473","1,773,838t",1773838,63.8%,1971 Laws of MInnesota Chapter 959,https://www.revisor.mn.gov/data/revisor/law/1971/0/1971-959.pdf
1970,To reduce voting age requirement from 21 to 19 years; to provide an age requirement of 21 years to hold public office.,Elections,A,"700,449","582,890","1,388,525t",1388525,50.4%,1969 Laws of MInnesota Chapter 996,https://www.revisor.mn.gov/data/revisor/law/1969/0/1969-996.pdf
1970,To authorize the legislature to define or limit categories of tax-exempt property.,Revenue & Spending,A,"969,774","287,858","1,388,525t",1388525,69.8%,1969 Laws of MInnesota Chapter 925,https://www.revisor.mn.gov/data/revisor/law/1969/0/1969-925.pdf
1968,To allow legislators to assume another elective or appointive office upon resignation from the legislature.,Structure of Government,A,"1,012,235","359,088","1,601,515t",1601515,63.2%,1967 Laws of MInnesota Chapter 869,https://www.revisor.mn.gov/data/revisor/law/1967/0/1967-869.pdf
1968,To allow legislature to present bills to governor within three days after legislature adjourns; allowing governor 14 days to sign or veto such bills.,Structure of Government,A,"1,044,418","316,916","1,601,515t",1601515,65.2%,1967 1st Sp. Sess Laws of MInnesota Chapter 51,https://www.revisor.mn.gov/data/revisor/law/1967/1/1967-EX-051.pdf
1966,To allow legislators to seek election to other offices and to provide resignation procedure for legislators.,Elections,R,"575,967","471,427","1,312,288t",1312288,43.9%,1965 Laws of MInnesota Chapter 689,https://www.revisor.mn.gov/data/revisor/law/1965/0/1965-689.pdf
1964,To prevent amendment or repeal of taconite tax policies for 25 years; to authorize legislature to impose limitations for not more than 25 years on taxation of copper and nickel mining.,Revenue & Spending,A,"1,272,590","204,133","1,586,173t",1586173,80.2%,1963 Laws of MInnesota Chapter 99,https://www.revisor.mn.gov/data/revisor/law/1963/0/1963-099.pdf
1964,To remove obsolete language from constitution.,Structure of Government,A,"1,089,798","254,216","1,586,173t",1586173,68.7%,1963 Laws of MInnesota Chapter 870,https://www.revisor.mn.gov/data/revisor/law/1963/0/1963-870.pdf
1962,To consolidate the swamp land fund and the permanent school fund; to set distribution requirements and investment restrictions.,Revenue & Spending,A,"828,880","288,490","1,267,502t",1267502,65.4%,1961 1st Sp. Sess Laws of MInnesota Chapter 14,https://www.revisor.mn.gov/data/revisor/law/1961/1/1961-EX-014.pdf
1962,To allow state to contract long- and short-term debts for public improvements upon approval of 3/5 of both houses of the legislature.,Revenue & Spending,A,"728,255","385,723","1,267,502t",1267502,57.5%,1961 1st Sp. Sess Laws of MInnesota Chapter 99,https://www.revisor.mn.gov/data/revisor/law/1961/1/1961-EX-099.pdf
1962,To remove restrictions on length of legislative sessions.,Structure of Government,A,"706,761","393,538","1,267,502t",1267502,55.8%,1961 1st Sp. Sess Laws of MInnesota Chapter 100,https://www.revisor.mn.gov/data/revisor/law/1961/1/1961-EX-100.pdf
1960,To extend the legislative session; to restrict the time during which bills can be introduced; to set qualifications for legislators running for other elective offices.,Structure of Government,R,"763,434","501,429","1,577,509t",1577509,48.4%,1959 1st Sp. Sess Laws of MInnesota Chapter 89,https://www.revisor.mn.gov/data/revisor/law/1959/1/1959-EX-089.pdf
1960,To allow an extra legislative session for reapportionment if reapportionment is not completed during the regular session.,Structure of Government,R,"600,797","661,009","1,577,509t",1577509,38.1%,1959 1st Sp. Sess Laws of MInnesota Chapter 47,https://www.revisor.mn.gov/data/revisor/law/1959/1/1959-EX-047.pdf
1960,To provide for succession to the office of governor: to provide for continuity of government in emergencies caused by enemy attack.,Structure of Government,A,"974,486","305,245","1,577,509t",1577509,61.8%,1959 Laws of MInnesota Chapter 680,https://www.revisor.mn.gov/data/revisor/law/1959/0/1959-680.pdf
1960,To prescribe the place where a person moving to a new precinct within 30 days before an election may vote; eliminating obsolete provisions on the voting rights of persons of Indian blood.,Elections,A,"993,186","302,217","1,577,509t",1577509,63.0%,1959 Laws of MInnesota Chapter 696,https://www.revisor.mn.gov/data/revisor/law/1959/0/1959-696.pdf
1958,"To authorize the legislature to revise and consolidate provisions relating to local government, home rule and special laws.",Structure of Government,A,"712,552","309,848","1,178,173t",1178173,60.5%,1957 Laws of MInnesota Chapter 809,https://www.revisor.mn.gov/data/revisor/law/1957/0/1957-809.pdf
1958,To provide for four-year terms for state constitutional officers to take effect for terms beginning in 1963.,Structure of Government,A,"641,887","382,505","1,178,173t",1178173,54.5%,1957 Laws of MInnesota Chapter 813,https://www.revisor.mn.gov/data/revisor/law/1957/0/1957-813.pdf
1958,To permit members of the legislature to hold certain elective and nonelective state offices.,Structure of Government,R,"576,300","430,112","1,178,731t",1178731,48.9%,1957 Laws of MInnesota Chapter 922,https://www.revisor.mn.gov/data/revisor/law/1957/0/1957-922.pdf
1956,"To authorize the consolidation of present trunk highway articles and sections, to increase state aid and supervision of public highways; to permit tax of motor vehicles and fuel; to apportion funds for highway purposes 62-29-9 to state and local highways.",Highways & Transit,A,"1,060,063","230,707","1,443,856t",1443856,73.4%,1955 Laws of MInnesota Chapter 882,https://www.revisor.mn.gov/data/revisor/law/1955/0/1955-882.pdf
1956,To authorize the legislature to divert 50% of the occupation mining tax proceeds earmarked for education from permanent trust funds to current educational needs.,Revenue & Spending,A,"1,084,627","209,311","1,443,856t",1443856,75.1%,1955 1st Sp. Sess Laws of MInnesota Chapter 6,https://www.revisor.mn.gov/data/revisor/law/1955/1/1955-EX-006.pdf
1956,To permit the legislature to reorganize the judicial power of the state.,Judicial Branch,A,"939,957","307,178","1,443,856t",1443856,65.1%,1955 Laws of MInnesota Chapter 881,https://www.revisor.mn.gov/data/revisor/law/1955/0/1955-881.pdf
1954,To permit legislature to extend probate jurisdiction by a 2/3 vote.,Judicial Branch,A,"610,138","303,838","1,168,101t",1168101,52.2%,1953 Laws of MInnesota Chapter 759,https://www.revisor.mn.gov/data/revisor/law/1953/0/1953-759.pdf
1954,To authorize the legislature to limit the liability of stockholders of state banks.,Judicial Branch,A,"624,611","290,039","1,168,101t",1168101,53.5%,1953 Laws of MInnesota Chapter 760,https://www.revisor.mn.gov/data/revisor/law/1953/0/1953-760.pdf
1954,To provide for a 60% popular vote before a new state constitution can be ratified and to remove constitutional bar precluding members of the legislature from serving in a constitutional convention.,Structure of Government,A,"638,818","266,434","1,168,101t",1168101,54.7%,1953 Laws of MInnesota Chapter 761,https://www.revisor.mn.gov/data/revisor/law/1953/0/1953-761.pdf
1954,To permit gubernatorial appointments in case of vacancy in certain offices to run until end of term or January 1 to eliminate need for election to short terms.,Elections,A,"636,237","282,212","1,168,101t",1168101,54.5%,1953 Laws of MInnesota Chapter 762,https://www.revisor.mn.gov/data/revisor/law/1953/0/1953-762.pdf
1952,To authorize a change in the investment and loan requirements governing permanent school and university funds.,Revenue & Spending,R,"604,384","500,490","1,460,326t",1460326,41.4%,1951 Laws of MInnesota Chapter 721,https://www.revisor.mn.gov/data/revisor/law/1951/0/1951-721.pdf
1952,To provide for a 60% popular majority of voters voting on the question before a new state constitution can be considered legally ratified by the electorate.,Structure of Government,R,"656,618","424,492","1,460,326t",1460326,45.0%,1951 Laws of MInnesota Chapter 722,https://www.revisor.mn.gov/data/revisor/law/1951/0/1951-722.pdf
1952,To clarify meaning of who shall be entitled to vote.,Elections,R,"716,670","371,508","1,460,326t",1460326,49.1%,1951 Laws of MInnesota Chapter 723,https://www.revisor.mn.gov/data/revisor/law/1951/0/1951-723.pdf
1952,To permit legislature to extend probate jurisdiction by a 2/3 vote.,Judicial Branch,R,"646,608","443,005","1,460,326t",1460326,44.3%,1951 Laws of MInnesota Chapter 724,https://www.revisor.mn.gov/data/revisor/law/1951/0/1951-724.pdf
1952,To provide for a 65-10-25 apportionment of excise tax on motor vehicles.,Highways & Transit,R,"580,316","704,336","1,460,326t",1460326,39.7%,1951 Laws of MInnesota Chapter 725,https://www.revisor.mn.gov/data/revisor/law/1951/0/1951-725.pdf
1950,To authorize forestry management funds by diverting certain proceeds (25%) from the public land trust fund.,Revenue & Spending,R,"367,013","465,239","1,067,967t",1067967,34.4%,1949 Laws of MInnesota Chapter 746,https://www.revisor.mn.gov/data/revisor/law/1949/0/1949-746.pdf
1950,To authorize diversion of 1% of the proceeds of the occupation mining tax to the veterans’ compensation fund.,Revenue & Spending,A,"594,092","290,870","1,067,967t",1067967,55.6%,1949 Laws of MInnesota Chapter 643,https://www.revisor.mn.gov/data/revisor/law/1949/0/1949-643.pdf
1950,To provide for a 50-44-6 apportionment of the excise tax on petroleum products.,Highways & Transit,R,"420,530","456,346","1,067,967t",1067967,39.4%,1949 Laws of MInnesota Chapter 747,https://www.revisor.mn.gov/data/revisor/law/1949/0/1949-747.pdf
1948,To provide for 50-50 apportionment of excise tax on petroleum products.,Highways & Transit,R,"534,538","539,224","1,257,804t",1257804,42.5%,1947 Laws of MInnesota Chapter 639,https://www.revisor.mn.gov/data/revisor/law/1947/0/1947-639.pdf
1948,To authorize submission of two or more amendments without requiring voters to vote,Elections,R,"319,667","621,523","1,257,804t",1257804,25.4%,1947 Laws of MInnesota Chapter 640,https://www.revisor.mn.gov/data/revisor/law/1947/0/1947-640.pdf
1948,To authorize 2/3 of the legislature to call for a constitutional convention without submitting the question to the voters.,Structure of Government,R,"294,842","641,013","1,257,804t",1257804,23.4%,1947 Laws of MInnesota Chapter 641,https://www.revisor.mn.gov/data/revisor/law/1947/0/1947-641.pdf
1948,To authorize the state to pay a veterans’ bonus.,Revenue & Spending,A,"664,703","420,518","1,257,804t",1257804,52.8%,1947 Laws of MInnesota Chapter 642,https://www.revisor.mn.gov/data/revisor/law/1947/0/1947-642.pdf
1944,To authorize state construction and operation of airports; to authorize taxes on aircraft fuel and aircraft sales.,Highways & Transit,A,"737,091","264,149","1,195,397t",1195397,61.7%,1943 Laws of MInnesota Chapter 666,https://www.revisor.mn.gov/data/revisor/law/1943/0/1943-666.pdf
1942,To change requirements for investment or loan of permanent school and permanent university funds.,Revenue & Spending,A,"415,012","190,563","818,182t",818182,50.7%,1941 Laws of MInnesota Chapter 171,https://www.revisor.mn.gov/data/revisor/law/1941/0/1941-171.pdf
1942,To simplify and reduce the expense of publishing amendments to city and village charters.,Structure of Government,A,"459,868","144,842","818,182t",818182,56.2%,1941 Laws of MInnesota Chapter 135,https://www.revisor.mn.gov/data/revisor/law/1941/0/1941-135.pdf
1940,To change requirements for publication of proposed amendments to city and village charters.,Structure of Government,R,"635,815","287,286","1,301,573t",1301573,48.8%,1939 Laws of MInnesota Chapter 447,https://www.revisor.mn.gov/data/revisor/law/1939/0/1939-447.pdf
1938,To authorize the legislature to exchange state public lands for federal lands.,Environment & Land Use,A,"609,046","259,007","1,144,926t",1144926,53.2%,1937 Laws of MInnesota Chapter 492,https://www.revisor.mn.gov/data/revisor/law/1937/0/1937-492.pdf
1938,To change requirements for publication of proposed amendments to city and village charters.,Structure of Government,R,"488,370","260,152","1,144,926t",1144926,42.7%,1937 Laws of MInnesota Chapter 493,https://www.revisor.mn.gov/data/revisor/law/1937/0/1937-493.pdf
1936,To authorize the legislature to exchange state public lands for federal lands.,Environment & Land Use,R,"448,917","397,106","1,164,268t",1164268,38.6%,1935 Laws of MInnesota Chapter 393,https://www.revisor.mn.gov/data/revisor/law/1935/0/1935-393.pdf
1936,To exempt personal property from state tax.,Revenue & Spending,R,"355,588","543,847","1,164,268t",1164268,30.5%,1935 Laws of MInnesota Chapter 394,https://www.revisor.mn.gov/data/revisor/law/1935/0/1935-394.pdf
1934,"To define “academies, colleges, universities and seminaries of learning” to mean, for tax purposes, property actually used in instruction and housing of students.",Revenue & Spending,R,"472,374","247,166","1,064,332t",1064332,44.4%,1933 Laws of MInnesota Chapter 444,https://www.revisor.mn.gov/data/revisor/law/1933/0/1933-444.pdf
1934,To authorize legislature to add new routes to trunk highway system.,Highways & Transit,R,"509,074","279,877","1,064,332t",1064332,47.8%,1933 Laws of MInnesota Chapter 439,https://www.revisor.mn.gov/data/revisor/law/1933/0/1933-439.pdf
1934,To authorize taxation of lands acquired through rural credit system.,Revenue & Spending,R,"496,017","215,623","1,064,332t",1064332,46.6%,1933 Laws of MInnesota Chapter 441,https://www.revisor.mn.gov/data/revisor/law/1933/0/1933-441.pdf
1934,To exempt all household goods and farm machinery and equipment from taxation.,Revenue & Spending,A,"630,125","181,126","1,064,332t",1064332,59.2%,1933 Laws of MInnesota Chapter 442,https://www.revisor.mn.gov/data/revisor/law/1933/0/1933-442.pdf
1934,To authorize the legislature to exchange state public lands for federal lands.,Environment & Land Use,R,"468,617","216,760","1,064,332t",1064332,44.0%,1933 Laws of MInnesota Chapter 443,https://www.revisor.mn.gov/data/revisor/law/1933/0/1933-443.pdf
1932,"To authorize taxation of income, franchises and privileges of railroad companies; to authorize legislation to make taxation of national banking associations conform to federal law.",Revenue & Spending,R,"420,052","409,924","1,054,203t",1054203,39.8%,1931 Laws of MInnesota Chapter 420,https://www.revisor.mn.gov/data/revisor/law/1931/0/1931-420.pdf
1932,To authorize taxation of motor vehicles of companies paying taxes under the gross earnings taxation system.,Highways & Transit,A,"537,292","227,634","1,054,203t",1054203,51.0%,1931 Laws of MInnesota Chapter 418,https://www.revisor.mn.gov/data/revisor/law/1931/0/1931-418.pdf
1932,To authorize the legislature to exchange state public lands for federal lands.,Environment & Land Use,R,"433,913","258,257","1,054,203t",1054203,41.2%,1931 Laws of MInnesota Chapter 417,https://www.revisor.mn.gov/data/revisor/law/1931/0/1931-417.pdf
1932,To authorize the taxation of lands acquired through rural credit system.,Revenue & Spending,R,"468,101","261,856","1,054,203t",1054203,44.4%,1931 Laws of MInnesota Chapter 419,https://www.revisor.mn.gov/data/revisor/law/1931/0/1931-419.pdf
1930,To provide two elective associate supreme court justices to replace appointed court commissioners.,Judicial Branch,A,"428,013","130,833","828,401t",828401,51.7%,1929 Laws of MInnesota Chapter 430,https://www.revisor.mn.gov/data/revisor/law/1929/0/1929-430.pdf
1930,To authorize the legislature to exchange state public lands for federal lands.,Environment & Land Use,R,"378,716","174,231","828,401t",828401,45.7%,1929 Laws of MInnesota Chapter 431,https://www.revisor.mn.gov/data/revisor/law/1929/0/1929-431.pdf
1930,To authorize the legislature to limit the liability of stockholders in corporations.,Judicial Branch,A,"486,818","135,345","828,401t",828401,58.8%,1929 Laws of MInnesota Chapter 429,https://www.revisor.mn.gov/data/revisor/law/1929/0/1929-429.pdf
1928,To place revenue generated by motor fuel tax 2/3 in trunk highway fund and 1/3 in bridge fund.,Highways & Transit,A,"542,796","346,109","1,070,274t",1070274,50.7%,1927 Laws of MInnesota Chapter 445,https://www.revisor.mn.gov/data/revisor/law/1927/0/1927-445.pdf
1928,To authorize the legislature to limit the liability of stockholders in corporations.,Judicial Branch,R,"506,065","223,725","1,070,274t",1070274,47.3%,1927 Laws of MInnesota Chapter 444,https://www.revisor.mn.gov/data/revisor/law/1927/0/1927-444.pdf
1926,To fix the number of justices on the state supreme court.,Judicial Branch,R,"331,964","148,784","722,781t",722781,45.9%,1925 Laws of MInnesota Chapter 428,https://www.revisor.mn.gov/data/revisor/law/1925/0/1925-428.pdf
1926,To authorize enactment of laws promoting forestation and reforestation of public and private lands.,Environment & Land Use,A,"383,003","127,592","722,781t",722781,53.0%,1925 Laws of MInnesota Chapter 427,https://www.revisor.mn.gov/data/revisor/law/1925/0/1925-427.pdf
1926,To authorize the legislature to limit the liability of stockholders in corporations.,Judicial Branch,R,"323,322","140,422","722,781t",722781,44.7%,1925 Laws of MInnesota Chapter 429,https://www.revisor.mn.gov/data/revisor/law/1925/0/1925-429.pdf
1924,To place revenue generated by excise taxes on motor fuels in trunk highway fund.,Highways & Transit,A,"520,769","197,455","869,151t",869151,59.9%,1923 Laws of MInnesota Chapter 447,https://www.revisor.mn.gov/data/revisor/law/1923/0/1923-447.pdf
1924,To change requirements for publication of proposed amendments to city and village charters.,Structure of Government,R,"246,414","200,391","869,151t",869151,28.4%,1923 Laws of MInnesota Chapter 448,https://www.revisor.mn.gov/data/revisor/law/1923/0/1923-448.pdf
1924,To establish state-owned and operated public terminal grain elevators.,Environment & Land Use,R,"253,732","257,492","869,151t",869151,29.2%,1923 Laws of MInnesota Chapter 449,https://www.revisor.mn.gov/data/revisor/law/1923/0/1923-449.pdf
1924,"To authorize enactment of laws promoting forestation and reforestation of public and private lands, including irrepealable provisions for forest land tax and a yield tax on timber products.",Environment & Land Use,R,"428,407","143,977","869,151t",869151,49.3%,1923 Laws of MInnesota Chapter 450,https://www.revisor.mn.gov/data/revisor/law/1923/0/1923-450.pdf
1924,"To authorize state expenditure to prevent forest fires, including compulsory taxation, clearing and improvement of public and private wild lands.",Environment & Land Use,A,"460,965","143,518","869,151t",869151,53.0%,1923 Laws of MInnesota Chapter 451,https://www.revisor.mn.gov/data/revisor/law/1923/0/1923-451.pdf
1922,To establish a state rural credit system to aid agricultural development.,Revenue & Spending,A,"534,310","73,917","714,630t",714630,74.8%,1921 Laws of MInnesota Chapter 528,https://www.revisor.mn.gov/data/revisor/law/1921/0/1921-528.pdf
1922,To tax mining of iron and other ores.,Revenue & Spending,A,"474,697","91,011","714,630t",714630,66.4%,1921 Laws of MInnesota Chapter 529,https://www.revisor.mn.gov/data/revisor/law/1921/0/1921-529.pdf
1920,To provide a state trunk highway system.,Highways & Transit,A,"526,936","199,603","797,945t",797945,66.0%,1919 Laws of MInnesota Chapter 530,https://www.revisor.mn.gov/data/revisor/law/1919/0/1919-530.pdf
1920,To extend terms of probate judges to four years.,Judicial Branch,A,"446,959","171,414","797,945t",797945,56.0%,1919 Laws of MInnesota Chapter 531,https://www.revisor.mn.gov/data/revisor/law/1919/0/1919-531.pdf
1920,To authorize state income tax and to change provisions on tax-exempt property.,Revenue & Spending,R,"331,105","217,558","797,945t",797945,41.5%,1919 Laws of MInnesota Chapter 532,https://www.revisor.mn.gov/data/revisor/law/1919/0/1919-532.pdf
1918,To prohibit the manufacture and the sale of liquor.,Gambling & Vice,R,"189,614","173,665","380,604t",380604,49.8%,1917 Laws of MInnesota Chapter 515,https://www.revisor.mn.gov/data/revisor/law/1917/0/1917-515.pdf
1916,To authorized a revolving fund for improving state school and swamp lands.,Revenue & Spending,A,"240,975","58,100","416,215t",416215,57.9%,1915 Laws of MInnesota Chapter 379,https://www.revisor.mn.gov/data/revisor/law/1915/0/1915-379.pdf
1916,To authorize investment of school and university funds in first mortgages on improved farms.,Revenue & Spending,A,"211,529","56,147","416,215t",416215,50.8%,1915 Laws of MInnesota Chapter 380,https://www.revisor.mn.gov/data/revisor/law/1915/0/1915-380.pdf
1916,To authorize the state to mine ore under public waters.,Environment & Land Use,R,"183,597","64,255","416,215t",416215,44.1%,1915 Laws of MInnesota Chapter 381,https://www.revisor.mn.gov/data/revisor/law/1915/0/1915-381.pdf
1916,"To increase number of justices of supreme court, and to authorize the court to appoint its own clerk.",Judicial Branch,R,"130,363","108,002","416,215t",416215,31.3%,1915 Laws of MInnesota Chapter 382,https://www.revisor.mn.gov/data/revisor/law/1915/0/1915-382.pdf
1916,To authorize the governor to cut down items in appropriation bills.,Structure of Government,R,"136,700","83,324","416,215t",416215,32.8%,1915 Laws of MInnesota Chapter 383,https://www.revisor.mn.gov/data/revisor/law/1915/0/1915-383.pdf
1916,To authorize condemnation of private lands for construction of private drainage ditches.,Environment & Land Use,R,"132,741","97,432","416,215t",416215,31.9%,1915 Laws of MInnesota Chapter 384,https://www.revisor.mn.gov/data/revisor/law/1915/0/1915-384.pdf
1916,To establish initiative and referendum.,Elections,R,"187,711","51,544","416,215t",416215,45.1%,1915 Laws of MInnesota Chapter 385,https://www.revisor.mn.gov/data/revisor/law/1915/0/1915-385.pdf
1916,To extend terms of probate judges to four years.,Judicial Branch,R,"186,847","72,361","416,215t",416215,44.9%,1915 Laws of MInnesota Chapter 386,https://www.revisor.mn.gov/data/revisor/law/1915/0/1915-386.pdf
1914,To establish initiative and referendum.,Elections,R,"168,004","41,577","356,906t",356906,47.1%,1913 Laws of MInnesota Chapter 584,https://www.revisor.mn.gov/data/revisor/law/1913/0/1913-584.pdf
1914,"To increase number of justices of supreme court, and to authorize the court to appoint its clerk.",Judicial Branch,R,"127,352","68,886","356,906t",356906,35.7%,1913 Laws of MInnesota Chapter 585,https://www.revisor.mn.gov/data/revisor/law/1913/0/1913-585.pdf
